Unidad de Negocio,Código TS,Código Usuario,Sentido,FREC_PUNTA,FREC_VALLE,INDICE_PUNTA_VALLE,CAP_POR_BUS_PUNTA,TIPO_ZONA
19,1901e,201e,Ida,9.833333333333332,5.888888888888889,1.6698113207547167,90.00000000000003,Periférica
3,315e,315e,Ida,11.791666666666666,7.066666666666666,1.6686320754716981,92.58333333333333,Semi-Central
8,813,B13,Ida,10.0,6.0,1.6666666666666667,90.00000000000001,Periférica
5,550c,110c,Ret,7.166666666666667,4.3999999999999995,1.6287878787878791,81.0,Periférica
4,465,G05,Ida,9.0,5.577777777777778,1.6135458167330676,99.0,Periférica
14,1415,405,Ida,8.541666666666666,5.3999999999999995,1.5817901234567902,150.0,Periférica
15,1541,E11,Ida,9.083333333333332,5.8,1.5660919540229883,90.00000000000003,Periférica
13,1344,444,Ida,4.708333333333333,3.0444444444444443,1.5465328467153285,90.0,Periférica
5,532,J12,Ida,6.25,4.044444444444444,1.5453296703296704,81.0,Periférica
3,315e,315e,Ret,10.958333333333334,7.111111111111112,1.541015625,91.80952380952381,Semi-Central
8,818e,B18e,Ida,5.208333333333333,3.4,1.531862745098039,90.0,Periférica
5,535c,J15c,Ida,6.125,4.0,1.53125,81.0,Periférica
11,1102c,C02c,Ret,12.25,8.0,1.53125,90.00000000000001,Periférica
5,524,J04,Ret,8.125,5.311111111111111,1.5298117154811717,81.0,Periférica
19,1901e,201e,Ret,9.833333333333334,6.444444444444444,1.5258620689655176,89.99999999999997,Periférica
5,532,J12,Ret,6.541666666666667,4.288888888888889,1.525259067357513,81.0,Periférica
13,1330,430,Ida,9.416666666666666,6.266666666666667,1.502659574468085,150.0,Periférica
2,232,G02,Ida,6.0,4.0,1.5,92.0,Central
5,535c,J15c,Ret,6.0,4.0,1.5,81.0,Periférica
9,923c,F03c,Ida,4.541666666666666,3.0444444444444443,1.491788321167883,60.0,Periférica
15,1541,E11,Ret,8.833333333333332,5.933333333333334,1.48876404494382,90.00000000000003,Periférica
3,303,303,Ida,8.416666666666668,5.666666666666667,1.4852941176470589,98.0,Semi-Central
9,953,F33,Ida,7.249999999999999,4.955555555555556,1.4630044843049326,90.00000000000003,Periférica
10,1057,F27,Ida,9.166666666666666,6.266666666666667,1.4627659574468084,60.000000000000014,Periférica
